Subscribe date,Stagename,Project type,Property kind,Source of lead,Amount,Lost reason,Lost date,Won,Cout du lead
2019-02-25,Gagné,primary_residence,old,partner1,118,,,1,
2019-02-26,Perdu,primary_residence,new,partner1,184,N'a jamais répondu (+5 appels),2019-03-13,,
2019-01-09,Perdu,primary_residence,,partner1,243,N'a jamais répondu (+5 appels),,,
2019-03-22,Perdu,primary_residence,new,partner1,215,Projet en recherche / Projet lointain,2019-03-28,,
2019-03-03,Gagné,rental_investment,old,partner1,142,,,1,
2019-03-09,Perdu,primary_residence,old,partner1,246,Projet en recherche / Projet lointain,2019-05-06,,
2019-03-21,Perdu,rental_investment,old,partner1,77,Ne souhaite pas faire ce dossier,2019-03-28,,
2019-03-27,Perdu,primary_residence,old,partner1,162,Projet en recherche / Projet lointain,2019-04-24,,
2019-02-07,Perdu,primary_residence,,partner1,60,N'a jamais répondu (+5 appels),,,
2019-01-09,Perdu,primary_residence,old,partner1,108,Perdu contre autre banque,2019-05-02,,
2019-01-05,Perdu,secondary_residence,,partner1,123,Projet en recherche / Projet lointain,,,
2019-01-17,Perdu,primary_residence,,partner1,205,Projet en recherche / Projet lointain,,,
2019-02-11,Perdu,primary_residence,VEFA,partner1,127,Perdu contre autre banque,,,
2019-02-07,Perdu,primary_residence,old,partner1,118,A répondu mais ne répond plus (+5 appels),2019-06-12,,
2019-03-03,Perdu,primary_residence,old,partner1,111,A répondu mais ne répond plus (+5 appels),2019-03-20,,
2019-01-08,Perdu,primary_residence,,partner1,153,Projet en recherche / Projet lointain,,,
2019-01-12,Perdu,rental_investment,,partner1,127,N'a jamais répondu (+5 appels),,,
2019-03-22,Perdu,rental_investment,new,partner1,226,N'a jamais répondu (+5 appels),2019-03-29,,
2019-01-20,Perdu,primary_residence,,partner1,141,Ne souhaite pas faire ce dossier,,,
2019-03-21,Perdu,primary_residence,old,partner1,184,A répondu mais ne répond plus (+5 appels),2019-08-01,,
2019-03-03,Perdu,primary_residence,old,partner1,62,A répondu mais ne répond plus (+5 appels),2019-05-18,,
2019-01-02,Perdu,primary_residence,,partner1,69,Test,,,
2019-01-04,Perdu,rental_investment,,partner1,200,Dossier non finançable,,,
2019-02-16,Perdu,rental_investment,,partner1,100,N'a jamais répondu (+5 appels),2019-03-22,,
2019-01-05,Perdu,primary_residence,,partner1,89,N'a jamais répondu (+5 appels),,,
2019-01-19,Perdu,primary_residence,,partner1,241,Perdu contre autre banque,2019-03-28,,
2019-02-22,Perdu,primary_residence,,partner1,55,Projet en recherche / Projet lointain,,,
2019-02-07,Perdu,primary_residence,,partner1,231,N'a jamais répondu (+5 appels),,,
2019-02-09,Perdu,primary_residence,,partner1,243,Projet arrêté,2019-04-04,,
2019-02-22,Perdu,primary_residence,,partner1,211,Faux email & numéro,,,
2019-02-21,Perdu,primary_residence,,partner1,207,N'a jamais répondu (+5 appels),2019-03-06,,
2019-02-28,Perdu,primary_residence,land_construction,partner1,181,Projet en recherche / Projet lointain,2019-03-05,,
2019-03-21,Perdu,primary_residence,old,partner1,112,Perdu contre autre banque,2019-03-26,,
2019-03-28,Perdu,primary_residence,old,partner1,107,N'a jamais répondu (+5 appels),2019-04-24,,
2019-03-22,Perdu,rental_investment,old,partner1,107,N'a jamais répondu (+5 appels),2019-04-23,,
2019-02-21,Perdu,primary_residence,old,partner1,124,N'a jamais répondu (+5 appels),2019-08-28,,
2019-01-08,Perdu,primary_residence,,partner1,242,N'a jamais répondu (+5 appels),,,
2019-03-22,Perdu,primary_residence,new,partner1,183,Projet en recherche / Projet lointain,2019-04-04,,
2019-03-23,Perdu,primary_residence,old,partner1,125,N'a jamais répondu (+5 appels),2019-04-29,,
2019-02-27,Perdu,primary_residence,old,partner1,240,Ne souhaite pas faire ce dossier,2019-03-05,,
